,white_username,black_username,white_result,black_result
418,hfaf,000sergei2,win,timeout
419,shrujalchess,000sergei2,repetition,repetition
420,000sergei2,shrujalchess,resigned,win
421,neotsnegri,000sergei2,win,checkmated
422,nicucosma,000sergei2,win,timeout
423,000sergei2,1964alex,win,resigned
424,000sergei2,mrilantja,win,abandoned
425,000sergei2,edvvardwong,timeout,win
426,Zeb68,000sergei2,checkmated,win
427,000sergei2,coskuncay,timeout,win
428,000sergei2,MustafaKirli,resigned,win
429,Besim079,000sergei2,checkmated,win
430,000sergei2,Besim079,checkmated,win
431,radu_daniel,000sergei2,resigned,win
432,CANNON_89,000sergei2,resigned,win
433,maikl100,000sergei2,checkmated,win
434,000sergei2,clementtalo,win,resigned
435,ataa1893,000sergei2,win,resigned
436,000sergei2,RedRaw2012,win,checkmated
437,000sergei2,guiquim,win,resigned
438,000sergei2,marcelhendrik,abandoned,win
439,000sergei2,GarvitOp,win,resigned
440,struxoni89,000sergei2,win,checkmated
441,000sergei2,varta25,win,resigned
442,GANASA,000sergei2,win,resigned
443,JonsonNababan,000sergei2,win,timeout
444,000sergei2,Th1rte3n,win,resigned
445,000sergei2,Alancady,insufficient,insufficient
446,Davmel96,000sergei2,win,timeout
447,000sergei2,asr2010,resigned,win
448,hankins54,000sergei2,win,timeout
449,Heitor_RS,000sergei2,win,resigned
450,000sergei2,kjc29,win,resigned
451,000sergei2,SpartanDBA,timeout,win
452,000sergei2,KaptajnMannheimer,timeout,win
453,radokrumov,000sergei2,win,timeout
454,chetshett,000sergei2,win,abandoned
455,000sergei2,Gladk3,resigned,win
456,jamesaja,000sergei2,win,checkmated
457,000sergei2,shaneluo103,win,checkmated
458,shaneluo103,000sergei2,win,resigned
459,000sergei2,alde123,resigned,win
460,marshii,000sergei2,checkmated,win
461,Deusdedit,000sergei2,win,checkmated
462,000sergei2,Beakerrr,timeout,win
463,sridhar11123,000sergei2,win,timeout
464,000sergei2,sridhar11123,checkmated,win
465,SadGuy96,000sergei2,win,abandoned
466,000sergei2,SeasideClub59,checkmated,win
467,000sergei2,coveman,resigned,win
468,shanedribblemachine,000sergei2,win,checkmated
469,kamespon,000sergei2,win,timeout
470,000sergei2,HoracioMorais,win,resigned
471,000sergei2,yellowyennie,win,resigned
472,maherns99,000sergei2,win,timeout
473,000sergei2,3tomX,win,checkmated
474,mindfulwrist,000sergei2,win,checkmated
475,000sergei2,teodor49,win,checkmated
476,000sergei2,kamran2085,win,checkmated
477,sinagong,000sergei2,win,resigned
478,000sergei2,DennisOskar,win,resigned
479,hichemm9,000sergei2,win,timeout
480,Caturindo11,000sergei2,checkmated,win
481,fxtradingbill,000sergei2,win,timeout
482,000sergei2,angelmaryjoy,win,resigned
483,000sergei2,Brusic2021,win,resigned
484,Brusic2021,000sergei2,win,timeout
485,000sergei2,izzatillo11,win,checkmated
486,izzatillo11,000sergei2,win,timeout
487,000sergei2,izzatillo11,timeout,win
488,000sergei2,Ranimir,win,checkmated
489,000sergei2,Sabuxi555,checkmated,win
490,Rabert_anton,000sergei2,win,timeout
491,glengoyne01,000sergei2,resigned,win
492,Lanzarote1971,000sergei2,win,timeout
493,000sergei2,shodruzjumaev,checkmated,win
494,000sergei2,kanovarr,win,resigned
495,kanovarr,000sergei2,resigned,win
496,000sergei2,envyseapets,win,resigned
497,000sergei2,Lapuchess,checkmated,win
498,AlcoholChessEdition,000sergei2,win,timeout
499,chess1234578,000sergei2,win,timeout
500,000sergei2,nigh7mare666,timeout,win
501,000sergei2,Bert96,win,checkmated
502,nickriz77,000sergei2,checkmated,win
503,fred201962,000sergei2,resigned,win
504,000sergei2,F1reFly,win,resigned
505,000sergei2,Jonatan2064,agreed,agreed
506,Jonatan2064,000sergei2,win,timeout
507,000sergei2,wkjohnson,win,resigned
508,huhu73,000sergei2,win,timeout
509,000sergei2,mohamedabdou55,win,resigned
510,rjoobneerst,000sergei2,resigned,win
511,fmozaeta1993,000sergei2,resigned,win
512,000sergei2,robert195202,win,abandoned
513,000sergei2,ebane20,win,resigned
514,ficko969,000sergei2,timeout,win
515,000sergei2,JesthonyMorales,win,checkmated
516,abdallahme,000sergei2,agreed,agreed
517,000sergei2,Ayipal,checkmated,win
518,Bahtigul,000sergei2,win,timeout
519,000sergei2,JSYadav1962,abandoned,win
520,000sergei2,paliteboys,resigned,win
521,Igml4,000sergei2,win,abandoned
522,X-Man2007,000sergei2,checkmated,win
523,Abdul_jakol33,000sergei2,resigned,win
524,000sergei2,genderuwo212,abandoned,win
525,ggxggx,000sergei2,win,resigned
526,000sergei2,Oezc59,win,resigned
527,fabiocallegariribeir,000sergei2,resigned,win
528,mihai1973,000sergei2,resigned,win
529,000sergei2,michele622,win,resigned
530,000sergei2,Geraldleejay,abandoned,win
531,000sergei2,vannas,win,resigned
532,000sergei2,laurentiuskurniawan,timeout,win
533,earlessbeatle,000sergei2,resigned,win
534,inaciofilho,000sergei2,resigned,win
535,000sergei2,Modest777,win,resigned
536,000sergei2,Peronaa,win,resigned
537,Peronaa,000sergei2,resigned,win
538,Nh0040,000sergei2,resigned,win
539,batjargalnamsrai,000sergei2,win,checkmated
540,000sergei2,BATACgg,win,resigned
541,Istvan21,000sergei2,win,abandoned
542,000sergei2,balet77777,resigned,win
543,000sergei2,sol79,checkmated,win
544,000sergei2,Zendrik,win,resigned
545,AdityaPriyadarshi12,000sergei2,win,abandoned
546,raktrish,000sergei2,resigned,win
547,ahaga,000sergei2,win,timeout
548,000sergei2,alevoze,abandoned,win
549,000sergei2,shalik66,win,resigned
550,ChecoFvla,000sergei2,resigned,win
551,000sergei2,brentonkeats,timeout,win
552,pedram3064,000sergei2,resigned,win
553,000sergei2,janto299,win,timeout
554,000sergei2,CsangoRobi100,win,resigned
555,JISHNUCV,000sergei2,win,abandoned
556,Facto19_2_3_5_7_91,000sergei2,resigned,win
557,rajeevpller,000sergei2,win,checkmated
558,000sergei2,velez07,abandoned,win
559,000sergei2,Thinkonesagain,abandoned,win
560,000sergei2,MilanKrsmanovic949,win,checkmated
561,HARL0CK,000sergei2,resigned,win
562,brotherbrax,000sergei2,win,checkmated
563,000sergei2,Romborac,abandoned,win
564,DivyaKalasua,000sergei2,resigned,win
565,hoangducthien,000sergei2,win,timeout
566,000sergei2,Pavel73Popov,win,resigned
567,gaulpaul,000sergei2,timeout,win
568,Andrej49,000sergei2,win,checkmated
569,000sergei2,aidok1966,resigned,win
570,000sergei2,apacihuso828,win,timeout
571,000sergei2,asi-tone,win,timeout
572,Dhallann,000sergei2,checkmated,win
573,000sergei2,Ozair135,win,checkmated
574,000sergei2,JAVAHERY1,win,resigned
575,Norsaiful,000sergei2,resigned,win
576,zaferz,000sergei2,resigned,win
577,000sergei2,mohammedmukram,resigned,win
578,Soma91,000sergei2,timeout,win
579,19RedMachine87,000sergei2,resigned,win
580,000sergei2,simpsoniac,win,checkmated
581,prateekrai1,000sergei2,resigned,win
582,000sergei2,captainblack1961,timeout,win
583,Rachman181,000sergei2,resigned,win
584,000sergei2,interciber,win,checkmated
585,brentonkeats,000sergei2,win,timeout
586,000sergei2,amiershafiq,timeout,win
587,000sergei2,SqueakyPlum,win,resigned
588,000sergei2,amin5855,checkmated,win
589,Ptasia41,000sergei2,win,checkmated
590,vedran88,000sergei2,checkmated,win
591,Viocomp,000sergei2,win,abandoned
592,000sergei2,Miroslav2112,win,checkmated
593,gimbigimbi,000sergei2,win,checkmated
594,000sergei2,grntdc,win,abandoned
595,talgat717,000sergei2,timeout,win
596,000sergei2,AlbaAdriatica,timeout,win
597,000sergei2,nicket,checkmated,win
598,cogitosum666,000sergei2,win,resigned
599,000sergei2,Xrommm,win,checkmated
600,harshtabb,000sergei2,win,timeout
601,JuanFcoM,000sergei2,timeout,win
602,000sergei2,Sergey_Lebedev,resigned,win
603,rollin23,000sergei2,resigned,win
604,egetano1,000sergei2,win,timeout
605,000sergei2,rigidchesscom,win,timeout
606,Nemesis_jm,000sergei2,win,timeout
607,000sergei2,nik-mikh,win,resigned
608,000sergei2,jingqin,abandoned,win
609,hounted,000sergei2,resigned,win
610,000sergei2,hounted,win,resigned
611,000sergei2,TihoAska,timeout,win
612,AhadUddinOntor,000sergei2,timeout,win
613,000sergei2,plo39,win,checkmated
614,plo39,000sergei2,resigned,win
615,000sergei2,cakra513,win,resigned
616,aylinm,000sergei2,timeout,win
617,skufffd5uu,000sergei2,checkmated,win
618,play4fun27,000sergei2,win,timeout
619,000sergei2,vharish23,abandoned,win
620,000sergei2,ayxanello,win,resigned
621,PRANAYHIWARE31,000sergei2,win,timeout
622,000sergei2,Boki122kralj,checkmated,win
623,Boki122kralj,000sergei2,resigned,win
624,000sergei2,Boki122kralj,timeout,win
625,RoyalNine,000sergei2,repetition,repetition
626,000sergei2,mdevani,win,checkmated
627,000sergei2,duskosss,checkmated,win
628,Ottomanstamper,000sergei2,win,resigned
629,000sergei2,Ottomanstamper,win,timeout
630,coolvishal777,000sergei2,win,resigned
631,000sergei2,coolvishal777,abandoned,win
632,000sergei2,askinazi,win,timeout
633,cezar3000,000sergei2,win,timeout
634,Dobermann99,000sergei2,win,timeout
635,000sergei2,JPKubiks,win,resigned
636,kimcuny,000sergei2,checkmated,win
637,bossjerico,000sergei2,repetition,repetition
638,000sergei2,raykovski,win,resigned
639,000sergei2,raknas0,win,checkmated
640,erickiall94765,000sergei2,win,checkmated
641,000sergei2,BulletsBad,resigned,win
642,000sergei2,Dmn25,abandoned,win
643,hikaruthenakamura,00110010,win,resigned
644,MIAN04,00110010,win,checkmated
645,00110010,sss99993202,repetition,repetition
646,Eugene9k,00112233445566,win,abandoned
647,00112233445566,ti4er,checkmated,win
648,pancakewacker,00112233445566,win,checkmated
649,00112233445566,saanopolist,abandoned,win
650,00112233445566,Muhammad324,abandoned,win
651,001bishop,Zonei,resigned,win
652,001bishop,HoosierAce,resigned,win
653,001bishop,niedenthal,resigned,win
654,niedenthal,001bishop,win,resigned
655,001bishop,Catartico,resigned,win
656,Catartico,001bishop,win,resigned
657,001bishop,jordi31,resigned,win
658,jordi31,001bishop,win,resigned
659,ozkuru,001bishop,win,resigned
660,001bishop,mont1106,resigned,win
661,BlackoutXII,001bishop,win,resigned
662,001bishop,duykhiem,resigned,win
663,killerhorsie,001bishop,win,resigned
664,001bishop,jdroxx,resigned,win
665,mishakipa,001bishop,win,resigned
